ticket,symbol,type,volume,entry,SL,TP,comment
892748937,EURUSD,BUY,0.05,1.163,0,0,GRID|BUY|1.16300
892748941,EURUSD,SELL,0.05,1.163,0,0,GRID|SELL|1.16300
892748942,EURUSD,BUY,0.05,1.164,0,0,GRID|BUY|1.16400
892748947,EURUSD,SELL,0.05,1.164,0,0,GRID|SELL|1.16400
892553562,EURUSD,BUY,0.05,1.165,0,0,GRID|BUY|1.16500
892553567,EURUSD,SELL,0.05,1.165,0,0,GRID|SELL|1.16500
892553580,EURUSD,BUY,0.05,1.166,0,0,GRID|BUY|1.16600
892553591,EURUSD,SELL,0.05,1.166,0,0,GRID|SELL|1.16600
891787138,EURUSD,BUY,0.05,1.167,0,0,GRID|BUY|1.16700
891787141,EURUSD,SELL,0.05,1.167,0,0,GRID|SELL|1.16700
891787146,EURUSD,BUY,0.05,1.168,0,0,GRID|BUY|1.16800
891787157,EURUSD,SELL,0.05,1.168,0,0,GRID|SELL|1.16800
891787159,EURUSD,BUY,0.05,1.169,0,0,GRID|BUY|1.16900
891787171,EURUSD,SELL,0.05,1.169,0,0,GRID|SELL|1.16900
891787227,EURUSD,BUY,0.05,1.17,0,0,GRID|BUY|1.17000
891787382,EURUSD,SELL,0.05,1.17,0,0,GRID|SELL|1.17000
891787385,EURUSD,BUY,0.05,1.171,0,0,GRID|BUY|1.17100
891787389,EURUSD,SELL,0.05,1.171,0,0,GRID|SELL|1.17100
891787394,EURUSD,BUY,0.05,1.172,0,0,GRID|BUY|1.17200
891787427,EURUSD,SELL,0.05,1.172,0,0,GRID|SELL|1.17200
891787429,EURUSD,BUY,0.05,1.173,0,0,GRID|BUY|1.17300
891787434,EURUSD,SELL,0.05,1.173,0,0,GRID|SELL|1.17300
891787442,EURUSD,BUY,0.05,1.174,0,0,GRID|BUY|1.17400
891787449,EURUSD,SELL,0.05,1.174,0,0,GRID|SELL|1.17400
891787453,EURUSD,BUY,0.05,1.175,0,0,GRID|BUY|1.17500
891787458,EURUSD,SELL,0.05,1.175,0,0,GRID|SELL|1.17500
891787465,EURUSD,BUY,0.05,1.176,0,0,GRID|BUY|1.17600
891787469,EURUSD,SELL,0.05,1.176,0,0,GRID|SELL|1.17600
891787470,EURUSD,BUY,0.05,1.177,0,0,GRID|BUY|1.17700
891787475,EURUSD,SELL,0.05,1.177,0,0,GRID|SELL|1.17700
892762791,EURUSD,SELL,0.05,1.181,0,0,GRID|SELL|1.18100
892762963,EURUSD,SELL,0.05,1.181,0,0,GRID|SELL|1.18100
892762794,EURUSD,SELL,0.05,1.182,0,0,GRID|SELL|1.18200
892762965,EURUSD,SELL,0.05,1.182,0,0,GRID|SELL|1.18200
891787519,EURUSD,BUY,0.05,1.183,0,0,GRID|BUY|1.18300
891787535,EURUSD,SELL,0.05,1.183,0,0,GRID|SELL|1.18300
891787540,EURUSD,BUY,0.05,1.184,0,0,GRID|BUY|1.18400
891787542,EURUSD,SELL,0.05,1.184,0,0,GRID|SELL|1.18400
891787544,EURUSD,BUY,0.05,1.185,0,0,GRID|BUY|1.18500
891787545,EURUSD,SELL,0.05,1.185,0,0,GRID|SELL|1.18500
891787548,EURUSD,BUY,0.05,1.186,0,0,GRID|BUY|1.18600
891787555,EURUSD,SELL,0.05,1.186,0,0,GRID|SELL|1.18600
891787557,EURUSD,BUY,0.05,1.187,0,0,GRID|BUY|1.18700
891787558,EURUSD,SELL,0.05,1.187,0,0,GRID|SELL|1.18700
891787560,EURUSD,BUY,0.05,1.188,0,0,GRID|BUY|1.18800
891787562,EURUSD,SELL,0.05,1.188,0,0,GRID|SELL|1.18800
891787563,EURUSD,BUY,0.05,1.189,0,0,GRID|BUY|1.18900
891787566,EURUSD,SELL,0.05,1.189,0,0,GRID|SELL|1.18900
891787568,EURUSD,BUY,0.05,1.19,0,0,GRID|BUY|1.19000
891787569,EURUSD,SELL,0.05,1.19,0,0,GRID|SELL|1.19000
891787570,EURUSD,BUY,0.05,1.191,0,0,GRID|BUY|1.19100
891787575,EURUSD,SELL,0.05,1.191,0,0,GRID|SELL|1.19100
891787578,EURUSD,BUY,0.05,1.192,0,0,GRID|BUY|1.19200
891787581,EURUSD,SELL,0.05,1.192,0,0,GRID|SELL|1.19200
891787582,EURUSD,BUY,0.05,1.193,0,0,GRID|BUY|1.19300
891787970,EURUSD,SELL,0.05,1.193,0,0,GRID|SELL|1.19300
